"names" "values"
"199" "STE20_T573_n_STE50_S202" 4.997486
"200" "STE20_T573_k_STE50_S202" 0.899917
"201" "tau_STE50_S202" 0.03874084
"202" "DIG2_S225_n_STE12_S400" 4.999971
"203" "DIG2_S225_k_STE12_S400" 0.4094892
"204" "DIG1_S395_n_STE12_S400" 3.227844
"205" "DIG1_S395_k_STE12_S400" 0.100295
"206" "DIG1_S126-S127_n_STE12_S400" 5
"207" "DIG1_S126-S127_k_STE12_S400" 0.1
"208" "DIG1_S272_n_STE12_S400" 4.999999
"209" "DIG1_S272_k_STE12_S400" 0.1000003
"210" "FUS3_T180_n_STE12_S400" 5
"211" "FUS3_T180_k_STE12_S400" 0.8999994
"212" "FUS3_S177-T180~Y182_n_STE12_S400" 5
"213" "FUS3_S177-T180~Y182_k_STE12_S400" 0.8999851
"214" "DIG1_S272~T277~S279_n_STE12_S400" 5
"215" "DIG1_S272~T277~S279_k_STE12_S400" 0.1004089
"216" "tau_STE12_S400" 0.01000001
"217" "HOG1_T174~Y176_n_SKO1_T215" 1.07856
"218" "HOG1_T174~Y176_k_SKO1_T215" 0.8999991
"219" "HOG1_T174-Y176_n_SKO1_T215" 4.999999
"220" "HOG1_T174-Y176_k_SKO1_T215" 0.9
"221" "tau_SKO1_T215" 8.988433
"222" "HOG1_T174~Y176_n_SKO1_S94~S108~T113" 5
"223" "HOG1_T174~Y176_k_SKO1_S94~S108~T113" 0.1
"224" "HOG1_T174-Y176_n_SKO1_S94~S108~T113" 4.999847
"225" "HOG1_T174-Y176_k_SKO1_S94~S108~T113" 0.8974827
"226" "tau_SKO1_S94~S108~T113" 0.09698966
