"names" "values"
"187" "STE20_T511_n_STE11_S326" 5
"188" "STE20_T511_k_STE11_S326" 0.8999999
"189" "STE20_T203~T207_n_STE11_S326" 5
"190" "STE20_T203~T207_k_STE11_S326" 0.7800233
"191" "STE20_S195_n_STE11_S326" 1.000001
"192" "STE20_S195_k_STE11_S326" 0.9
"193" "STE20_T170~T172_n_STE11_S326" 5
"194" "STE20_T170~T172_k_STE11_S326" 0.9
"195" "STE20_S196~T197_n_STE11_S326" 4.99405
"196" "STE20_S196~T197_k_STE11_S326" 0.9
"197" "STE20_T573_n_STE11_S326" 4.99311
"198" "STE20_T573_k_STE11_S326" 0.1
"199" "tau_STE11_S326" 0.02168094
"200" "STE20_S192_n_STE50_S202" 1.000025
"201" "STE20_S192_k_STE50_S202" 0.9
"202" "STE20_T511_n_STE50_S202" 4.996217
"203" "STE20_T511_k_STE50_S202" 0.8999997
"204" "STE20_T203~T207_n_STE50_S202" 4.999903
"205" "STE20_T203~T207_k_STE50_S202" 0.8999907
"206" "STE20_S195_n_STE50_S202" 1
"207" "STE20_S195_k_STE50_S202" 0.844847
"208" "STE20_T170~T172_n_STE50_S202" 1
"209" "STE20_T170~T172_k_STE50_S202" 0.1000012
"210" "STE20_S196~T197_n_STE50_S202" 5
"211" "STE20_S196~T197_k_STE50_S202" 0.8988928
"212" "STE20_T573_n_STE50_S202" 1
"213" "STE20_T573_k_STE50_S202" 0.8999984
"214" "tau_STE50_S202" 0.0373911
"215" "DIG2_S225_n_STE12_S400" 4.999979
"216" "DIG2_S225_k_STE12_S400" 0.1
"217" "DIG1_S395_n_STE12_S400" 4.999984
"218" "DIG1_S395_k_STE12_S400" 0.5161465
"219" "DIG1_S126-S127_n_STE12_S400" 5
"220" "DIG1_S126-S127_k_STE12_S400" 0.1
"221" "DIG1_S272_n_STE12_S400" 1.000001
"222" "DIG1_S272_k_STE12_S400" 0.1
"223" "FUS3_T180_n_STE12_S400" 5
"224" "FUS3_T180_k_STE12_S400" 0.8999998
"225" "FUS3_S177-T180~Y182_n_STE12_S400" 4.999984
"226" "FUS3_S177-T180~Y182_k_STE12_S400" 0.9
"227" "DIG1_S272~T277~S279_n_STE12_S400" 4.99906
"228" "DIG1_S272~T277~S279_k_STE12_S400" 0.1000311
"229" "tau_STE12_S400" 0.06470307
"230" "HOG1_T174~Y176_n_SKO1_T215" 5
"231" "HOG1_T174~Y176_k_SKO1_T215" 0.9
"232" "HOG1_T174-Y176_n_SKO1_T215" 4.999974
"233" "HOG1_T174-Y176_k_SKO1_T215" 0.1243065
"234" "tau_SKO1_T215" 9.647573
"235" "HOG1_T174~Y176_n_SKO1_S94~S108~T113" 4.999088
"236" "HOG1_T174~Y176_k_SKO1_S94~S108~T113" 0.8998019
"237" "HOG1_T174-Y176_n_SKO1_S94~S108~T113" 5
"238" "HOG1_T174-Y176_k_SKO1_S94~S108~T113" 0.1784231
"239" "tau_SKO1_S94~S108~T113" 0.1143554
